"LoLz" "LoLz" "288048160" "418414688" "293947872" "9" "83"
"CostiZEW" "CostiZEW" "283697312" "397096704" "295456096" "9" "74"
"markeloff <3" "markeloff <3" "282765440" "368954144" "295773056" "8" "55"
"IrreguLar" "IrreguLar" "276071296" "358678848" "293674272" "8" "73"
"[OxIgEn]*KiD*Lj" "[OxIgEn]*KiD*Lj" "274509472" "379162080" "299772960" "7" "64"
"TrusT^Me!" "TrusT^Me!" "273130624" "361877152" "297416672" "7" "75"
"Pyky" "Pyky" "272515392" "360017120" "299369056" "7" "83"
"Bdi" "Bdi" "271626528" "358352576" "297682688" "7" "64"
"wadafac!" "wadafac!" "270543328" "357877248" "293209824" "6" "75"
"7verde" "7verde" "269457888" "343723552" "290426944" "7" "73"
"d@rc@ # VANDALIZM" "d@rc@ # VANDALIZM" "268960512" "345632000" "294411776" "7" "70"
"MiB" "MiB" "268792000" "338679520" "299909152" "6" "58"
"ZALE" "ZALE" "267218560" "351010976" "293010976" "7" "75"
"d@rc@ # VANDALIZM`" "d@rc@ # VANDALIZM`" "266734832" "347107296" "292289728" "7" "86"
"EaSy." "EaSy." "265833856" "350671456" "295410528" "6" "79"
"Florin * (1)" "Florin * (1)" "265657744" "347753984" "294809856" "8" "83"
"FerRy" "FerRy" "264943536" "345709728" "295094592" "5" "84"
"wKn" "wKn" "264044432" "348883872" "292485696" "7" "90"
"deadpool" "deadpool" "263982112" "343086720" "295238272" "7" "85"
"^_^InSiDeR^_^" "^_^InSiDeR^_^" "263365120" "338370016" "297487520" "5" "77"
