*Aici este salvata activitatea suspecta a fiecarui jucator.


L  10:35:27 |deathrun_clarion_dojo_b3| *ROM-Protect : L-am detectat pe "Ryuu" [ VALVE_0:4:823345659 | 78.97.122.203 ] ca a incercat sa foloseasca "COLOR_BUG" ca sa alerteze playerii sau adminii.
L  10:35:29 |deathrun_clarion_dojo_b3| *ROM-Protect : L-am detectat pe "Ryuu" [ VALVE_0:4:823345659 | 78.97.122.203 ] ca a incercat sa foloseasca "COLOR_BUG" ca sa alerteze playerii sau adminii.
L  10:36:53 |deathrun_clarion_dojo_b3| *ROM-Protect : L-am detectat pe "Ryuu" [ VALVE_0:4:823345659 | 78.97.122.203 ] ca a incercat sa foloseasca "COLOR_BUG" ca sa alerteze playerii sau adminii.
L  10:36:53 |deathrun_clarion_dojo_b3| *ROM-Protect : L-am detectat pe "Ryuu" [ VALVE_0:4:823345659 | 78.97.122.203 ] ca a incercat sa foloseasca "COLOR_BUG" ca sa alerteze playerii sau adminii.
L  12:06:47 |deathrun_castle_fg_b| *ROM-Protect : L-am detectat pe "Ryuu" [ VALVE_0:4:823345659 | 78.97.122.203 ] ca a incercat sa foloseasca "COLOR_BUG" ca sa alerteze playerii sau adminii.
L  12:06:48 |deathrun_castle_fg_b| *ROM-Protect : L-am detectat pe "Ryuu" [ VALVE_0:4:823345659 | 78.97.122.203 ] ca a incercat sa foloseasca "COLOR_BUG" ca sa alerteze playerii sau adminii.
L  12:07:27 |deathrun_castle_fg_b| *ROM-Protect : L-am detectat pe "Ryuu" [ VALVE_0:4:823345659 | 78.97.122.203 ] ca a incercat sa foloseasca "COLOR_BUG" ca sa alerteze playerii sau adminii.
L  12:07:28 |deathrun_castle_fg_b| *ROM-Protect : L-am detectat pe "Ryuu" [ VALVE_0:4:823345659 | 78.97.122.203 ] ca a incercat sa foloseasca "COLOR_BUG" ca sa alerteze playerii sau adminii.
L  12:07:31 |deathrun_castle_fg_b| *ROM-Protect : L-am detectat pe "Ryuu" [ VALVE_0:4:823345659 | 78.97.122.203 ] ca a incercat sa foloseasca "COLOR_BUG" ca sa alerteze playerii sau adminii.
L  12:07:31 |deathrun_castle_fg_b| *ROM-Protect : L-am detectat pe "Ryuu" [ VALVE_0:4:823345659 | 78.97.122.203 ] ca a incercat sa foloseasca "COLOR_BUG" ca sa alerteze playerii sau adminii.
L  12:07:53 |deathrun_castle_fg_b| *ROM-Protect : L-am detectat pe "Ryuu" [ VALVE_0:4:823345659 | 78.97.122.203 ] ca a incercat sa foloseasca "COLOR_BUG" ca sa alerteze playerii sau adminii.
L  12:07:53 |deathrun_castle_fg_b| *ROM-Protect : L-am detectat pe "Ryuu" [ VALVE_0:4:823345659 | 78.97.122.203 ] ca a incercat sa foloseasca "COLOR_BUG" ca sa alerteze playerii sau adminii.
L  12:42:19 |deathrun_clarion_l98_final| *ROM-Protect : L-am detectat pe "mareleALB" [ VALVE_0:4:371025392 | 89.41.102.133 ] ca a incercat sa foloseasca "COLOR_BUG" ca sa alerteze playerii sau adminii.
L  12:43:00 |deathrun_clarion_l98_final| *ROM-Protect : L-am detectat pe "mareleALB" [ VALVE_0:4:371025392 | 89.41.102.133 ] ca a incercat sa foloseasca "COLOR_BUG" ca sa alerteze playerii sau adminii.
L  15:28:19 |deathrun_pacman_v2| *ROM-Protect : L-am detectat pe "nVidia E7 Player" [ VALVE_0:4:407296242 | 92.83.209.153 ] ca a incercat sa foloseasca "COLOR_BUG" ca sa alerteze playerii sau adminii.
L  21:20:48 |deathrun_pacman_v2| *ROM-Protect : L-am detectat pe "strange.-kolo1" [ VALVE_0:4:139484146 | 92.85.252.185 ] ca a incercat sa foloseasca "COLOR_BUG" ca sa alerteze playerii sau adminii.
