*Aici este salvata activitatea suspecta a fiecarui jucator.


L  18:11:36 |deathrun_minecraft_final| *ROM-Protect : L-am detectat pe "Sparanghel" [ VALVE_0:4:1863929463 | 86.126.110.119 ] ca a incercat sa foloseasca "COLOR_BUG" ca sa alerteze playerii sau adminii.
L  18:11:51 |deathrun_minecraft_final| *ROM-Protect : L-am detectat pe "Sparanghel" [ VALVE_0:4:1863929463 | 86.126.110.119 ] ca a incercat sa foloseasca "COLOR_BUG" ca sa alerteze playerii sau adminii.
L  18:16:06 |deathrun_minecraft_final| *ROM-Protect : L-am detectat pe "Sparanghel" [ VALVE_0:4:1863929463 | 86.126.110.119 ] ca a incercat sa foloseasca "COLOR_BUG" ca sa alerteze playerii sau adminii.
L  18:17:32 |deathrun_minecraft_final| *ROM-Protect : L-am detectat pe "Sparanghel" [ VALVE_0:4:1863929463 | 86.126.110.119 ] ca a incercat sa foloseasca "COLOR_BUG" ca sa alerteze playerii sau adminii.
L  19:17:12 |deathrun_adi_snowycliff| *ROM-Protect : L-am detectat pe "OreD" [ VALVE_0:4:9271006 | 5.15.70.168 ] ca a incercat sa foloseasca "COLOR_BUG" ca sa alerteze playerii sau adminii.
L  19:29:49 |deathrun_adi_snowycliff| *ROM-Protect : L-am detectat pe "LoLz" [ VALVE_0:4:656232055 | 86.126.102.231 ] ca a incercat sa foloseasca "COLOR_BUG" ca sa alerteze playerii sau adminii.
L  19:30:07 |deathrun_adi_snowycliff| *ROM-Protect : L-am detectat pe "LoLz" [ VALVE_0:4:656232055 | 86.126.102.231 ] ca a incercat sa foloseasca "COLOR_BUG" ca sa alerteze playerii sau adminii.
L  19:31:52 |deathrun_game_x| *ROM-Protect : L-am detectat pe "OreD" [ VALVE_0:4:9271006 | 5.15.70.168 ] ca a incercat sa foloseasca "COLOR_BUG" ca sa alerteze playerii sau adminii.
L  19:49:08 |deathrun_game_x| *ROM-Protect : L-am detectat pe "LoLz" [ VALVE_0:4:656232055 | 86.126.102.231 ] ca a incercat sa foloseasca "COLOR_BUG" ca sa alerteze playerii sau adminii.
L  19:49:12 |deathrun_game_x| *ROM-Protect : L-am detectat pe "LoLz" [ VALVE_0:4:656232055 | 86.126.102.231 ] ca a incercat sa foloseasca "COLOR_BUG" ca sa alerteze playerii sau adminii.
L  19:56:20 |deathrun_game_x| *ROM-Protect : L-am detectat pe "LoLz" [ VALVE_0:4:656232055 | 86.126.102.231 ] ca a incercat sa foloseasca "COLOR_BUG" ca sa alerteze playerii sau adminii.
L  19:56:21 |deathrun_game_x| *ROM-Protect : L-am detectat pe "LoLz" [ VALVE_0:4:656232055 | 86.126.102.231 ] ca a incercat sa foloseasca "COLOR_BUG" ca sa alerteze playerii sau adminii.
L  20:07:34 |deathrun_clarion_l98_final| *ROM-Protect : L-am detectat pe "LoLz" [ VALVE_0:4:656232055 | 86.126.102.231 ] ca a incercat sa foloseasca "COLOR_BUG" ca sa alerteze playerii sau adminii.
L  20:07:37 |deathrun_clarion_l98_final| *ROM-Protect : L-am detectat pe "LoLz" [ VALVE_0:4:656232055 | 86.126.102.231 ] ca a incercat sa foloseasca "COLOR_BUG" ca sa alerteze playerii sau adminii.
L  20:11:12 |deathrun_clarion_l98_final| *ROM-Protect : L-am detectat pe "OreD" [ VALVE_0:4:9271006 | 5.15.70.168 ] ca a incercat sa foloseasca "COLOR_BUG" ca sa alerteze playerii sau adminii.
L  20:11:13 |deathrun_clarion_l98_final| *ROM-Protect : L-am detectat pe "OreD" [ VALVE_0:4:9271006 | 5.15.70.168 ] ca a incercat sa foloseasca "COLOR_BUG" ca sa alerteze playerii sau adminii.
L  20:13:52 |deathrun_clarion_l98_final| *ROM-Protect : L-am detectat pe "LoLz" [ VALVE_0:4:656232055 | 86.126.102.231 ] ca a incercat sa foloseasca "COLOR_BUG" ca sa alerteze playerii sau adminii.
L  20:13:57 |deathrun_clarion_l98_final| *ROM-Protect : L-am detectat pe "LoLz" [ VALVE_0:4:656232055 | 86.126.102.231 ] ca a incercat sa foloseasca "COLOR_BUG" ca sa alerteze playerii sau adminii.
L  20:16:21 |deathrun_clarion_l98_final| *ROM-Protect : L-am detectat pe "LoLz" [ VALVE_0:4:656232055 | 86.126.102.231 ] ca a incercat sa foloseasca "COLOR_BUG" ca sa alerteze playerii sau adminii.
L  20:16:27 |deathrun_clarion_l98_final| *ROM-Protect : L-am detectat pe "LoLz" [ VALVE_0:4:656232055 | 86.126.102.231 ] ca a incercat sa foloseasca "COLOR_BUG" ca sa alerteze playerii sau adminii.
L  20:18:21 |deathrun_clarion_l98_final| *ROM-Protect : L-am detectat pe "LoLz" [ VALVE_0:4:656232055 | 86.126.102.231 ] ca a incercat sa foloseasca "COLOR_BUG" ca sa alerteze playerii sau adminii.
L  20:18:36 |deathrun_clarion_l98_final| *ROM-Protect : L-am detectat pe "LoLz" [ VALVE_0:4:656232055 | 86.126.102.231 ] ca a incercat sa foloseasca "COLOR_BUG" ca sa alerteze playerii sau adminii.
L  20:22:01 |deathrun_clarion_l98_final| *ROM-Protect : L-am detectat pe "LoLz" [ VALVE_0:4:656232055 | 86.126.102.231 ] ca a incercat sa foloseasca "COLOR_BUG" ca sa alerteze playerii sau adminii.
L  20:22:07 |deathrun_clarion_l98_final| *ROM-Protect : L-am detectat pe "LoLz" [ VALVE_0:4:656232055 | 86.126.102.231 ] ca a incercat sa foloseasca "COLOR_BUG" ca sa alerteze playerii sau adminii.
L  20:54:11 |deathrun_snow_wind_v2| *ROM-Protect : L-am detectat pe "LoLz" [ VALVE_0:4:656232055 | 86.126.102.231 ] ca a incercat sa foloseasca "COLOR_BUG" ca sa alerteze playerii sau adminii.
L  20:54:14 |deathrun_snow_wind_v2| *ROM-Protect : L-am detectat pe "LoLz" [ VALVE_0:4:656232055 | 86.126.102.231 ] ca a incercat sa foloseasca "COLOR_BUG" ca sa alerteze playerii sau adminii.
L  20:54:44 |deathrun_snow_wind_v2| *ROM-Protect : L-am detectat pe "LoLz" [ VALVE_0:4:656232055 | 86.126.102.231 ] ca a incercat sa foloseasca "COLOR_BUG" ca sa alerteze playerii sau adminii.
