*Aici este salvata activitatea suspecta a fiecarui jucator.


L  17:05:34 |deathrun_sammal_3sixty_beta1| *ROM-Protect : L-am detectat pe "MiB" [ VALVE_0:4:195689858 | 188.25.15.190 ] ca a incercat sa foloseasca "COLOR_BUG" ca sa alerteze playerii sau adminii.
L  17:10:43 |deathrun_sammal_3sixty_beta1| *ROM-Protect : L-am detectat pe "MiB" [ VALVE_0:4:195689858 | 188.25.15.190 ] ca a incercat sa foloseasca "COLOR_BUG" ca sa alerteze playerii sau adminii.
L  17:10:50 |deathrun_sammal_3sixty_beta1| *ROM-Protect : L-am detectat pe "MiB" [ VALVE_0:4:195689858 | 188.25.15.190 ] ca a incercat sa foloseasca "COLOR_BUG" ca sa alerteze playerii sau adminii.
L  18:17:21 |deathrun_bandicoot1| *ROM-Protect : L-am detectat pe "MiB" [ VALVE_0:4:195689858 | 188.25.15.190 ] ca a incercat sa foloseasca "COLOR_BUG" ca sa alerteze playerii sau adminii.
L  23:21:50 |deathrun_clarion_dojo_b3| *ROM-Protect : L-am detectat pe "send nudes" [ VALVE_0:4:2102807154 | 93.118.240.83 ] ca a incercat sa foloseasca "CMD_BUG" ca sa strice buna functionare a serverului.
L  23:34:17 |deathrun_challenge_x| *ROM-Protect : L-am detectat pe ".jOE" [ VALVE_0:4:9533022 | 5.14.126.168 ] ca a incercat sa foloseasca "COLOR_BUG" ca sa alerteze playerii sau adminii.
L  23:43:37 |deathrun_challenge_x| *ROM-Protect : L-am detectat pe "Strafers#LoW" [ VALVE_0:4:694996208 | 89.123.133.251 ] ca a incercat sa foloseasca "COLOR_BUG" ca sa alerteze playerii sau adminii.
L  23:43:37 |deathrun_challenge_x| *ROM-Protect : L-am detectat pe "Strafers#LoW" [ VALVE_0:4:694996208 | 89.123.133.251 ] ca a incercat sa foloseasca "COLOR_BUG" ca sa alerteze playerii sau adminii.
L  23:48:26 |deathrun_coolf4| *ROM-Protect : L-am detectat pe "LoW" [ VALVE_0:4:694996208 | 89.123.133.251 ] ca a incercat sa foloseasca "COLOR_BUG" ca sa alerteze playerii sau adminii.
L  23:48:29 |deathrun_coolf4| *ROM-Protect : L-am detectat pe "LoW" [ VALVE_0:4:694996208 | 89.123.133.251 ] ca a incercat sa foloseasca "COLOR_BUG" ca sa alerteze playerii sau adminii.
L  23:48:30 |deathrun_coolf4| *ROM-Protect : L-am detectat pe "LoW" [ VALVE_0:4:694996208 | 89.123.133.251 ] ca a incercat sa foloseasca "COLOR_BUG" ca sa alerteze playerii sau adminii.
