L 12/30/2016 - 00:35:07: Log file started (file "cstrike/addons/amxmodx/logs/TNI_30.12.2016.log") (game "cstrike") (amx "1.8.3-dev+5072")
L 12/30/2016 - 16:06:23: [TNI Systems] [ Name: d #Spec_Help_Text #Spec_Duck | IP: ( 92.81.176.224 ) | SteamID: STEAM_0:0:1955720068 ] incearca sa se conecteze cu un nume de bug, am hotarat ca e mai bine sa-ti dam un kick.
L 12/30/2016 - 16:06:23: [TNI Systems] [ Name: d #Spec_Help_Text #Spec_Duck | IP: ( 92.81.176.224 ) | SteamID: STEAM_0:0:1955720068 ] incearca sa se conecteze cu un nume de bug, am hotarat ca e mai bine sa-ti dam un kick.
L 12/30/2016 - 16:06:24: [TNI Systems] [ Name: d #Spec_Help_Text #Spec_Duck | IP: ( 92.81.176.224 ) | SteamID: STEAM_0:0:1460849444 ] incearca sa se conecteze cu un nume de bug, am hotarat ca e mai bine sa-ti dam un kick.
L 12/30/2016 - 16:06:24: [TNI Systems] [ Name: d #Spec_Help_Text #Spec_Duck | IP: ( 92.81.176.224 ) | SteamID: STEAM_0:0:1460849444 ] incearca sa se conecteze cu un nume de bug, am hotarat ca e mai bine sa-ti dam un kick.
L 12/30/2016 - 16:06:24: [TNI Systems] [ Name: d #Spec_Help_Text #Spec_Duck | IP: ( 92.81.176.224 ) | SteamID: STEAM_0:0:1460849444 ] incearca sa se conecteze cu un nume de bug, am hotarat ca e mai bine sa-ti dam un kick.
L 12/30/2016 - 16:06:24: [TNI Systems] [ Name: d #Spec_Help_Text #Spec_Duck | IP: ( 92.81.176.224 ) | SteamID: STEAM_0:0:1460849444 ] incearca sa se conecteze cu un nume de bug, am hotarat ca e mai bine sa-ti dam un kick.
L 12/30/2016 - 16:06:24: [TNI Systems] [ Name: d #Spec_Help_Text #Spec_Duck | IP: ( 92.81.176.224 ) | SteamID: STEAM_0:0:1460849444 ] incearca sa se conecteze cu un nume de bug, am hotarat ca e mai bine sa-ti dam un kick.
L 12/30/2016 - 16:06:24: [TNI Systems] [ Name: d #Spec_Help_Text #Spec_Duck | IP: ( 92.81.176.224 ) | SteamID: STEAM_0:0:1460849444 ] incearca sa se conecteze cu un nume de bug, am hotarat ca e mai bine sa-ti dam un kick.
L 12/30/2016 - 16:11:56: [TNI Systems] CFG FLOOD: SWAGGIE. XD ( 109.98.131.207 ) a incercat sa dea crash serverului.
L 12/30/2016 - 16:27:43: [TNI Systems] CHATBUG: [ Name: Sol | IP: ( 79.118.26.238 ) | SteamID:  ] incearca sa foloseasca chat-ul pentru a da crash la server. Am blocat comanda cu succes
